mans,rus,note
ёл-ва̄гылттаӈкве,спустить,вниз
ёл-ва̄нттуӈкве,свести,вниз
ёл-исуӈкве,приземлиться,о птице
ёл-исыл,посадка,
ёл-лаквуӈкве,сползти,
ёл-лаквыгла̄луӈкве,сползать,
ёл-лоньхатаӈкве,обвалиться,
ёл-лоньхатаӈкве,рухнуть,
ёл-лю̄лигла̄луӈкве,останавливаться,
ёл-лю̄люӈкве,остановиться,
ёл-нарумтаӈкве,столкнуть,вниз
ёл-нэ̄гуӈкве,привязать,
ёл-нэ̄гхатуӈкве,привязаться,
ёл-няртумтаӈкве,сдёрнуть,
ёл-няртумтаӈкве,сорвать,вниз
ёл-овантаӈкве,стекать,
ёл-овуӈкве,стечь,о воде
ёл-оилматуӈкве,заснуть,
ёл-оилматуӈкве,уснуть,
ёл-ойматуӈкве,сорваться,
ёл-оюӈкве,уснуть,
ёл-оянтаӈкве,засыпать,
ёл-па̄тыраӈкве,закатиться,
ёл-паргуӈкве,осыпаться,
ёл-паттуӈкве,уронить,
ёл-патуӈкве,упасть,
ёл-по̄илттаӈкве,остановить,
ёл-по̄илттаӈкве,успокоить,
ёл-по̄йтуӈкве,остановиться,
ёл-по̄йтуӈкве,перестать,
ёл-по̄люӈкве,примерзать,
ёл-повараӈкве,скатиться,
ёл-порыгмаӈкве,спрыгнуть,
ёл-порыгмаӈкве,соскочить,
ёл-пувуӈкве,удержать,
ёл-пувуӈкве,задержать,
ёл-ра̄гматаӈкве,провалиться,быстро
ёл-ра̄гпуӈкве,провалиться,
ёл-ра̄гпуӈкве,обрушиться,о постройке
ёл-ротмалтаӈкве,успокоить,
ёл-ротмуӈкве,успокоиться,
ёл-ротумтатта̄л,неугомонный,
ёл-са̄груӈкве,срубить,
ёл-сартуӈкве,спилить,
ёл-со̄суӈкве,вылить,
ёл-сялтуӈкве,увязнуть,
ёл-сё̄пита̄хтуӈкве,укладываться,спать
ёл-та̄ратахтуӈкве,спуститься,
ёл-та̄ратаӈкве,спустить,вниз
ёл-тагапаӈкве,застрять,
ёл-тахамтаӈкве,скатиться,с горы
ёл-торамлаӈкве,успокоиться,
ёл-торамтаӈкве,успокоить,
ёл-торылтаӈкве,уронить,
ёл-тосуӈкве,убыть,о воде
ёл-туясаӈкве,столкнуть,
ёл-тыламлаӈкве,спуститься,о птице
ёл-тӯйтуӈкве,спрятать,
ёл-тӯсьтуӈкве,воткнуть,
ёл-ха̄йтуӈкве,сбежать,вниз
ёл-хартуӈкве,стащить,
ёл-хартуӈкве,стянуть,вниз
ёл-хуюӈкве,лечь,
ёл-хӯтувъяӈкве,нагнуться,
ёл-хӯтылтаӈкве,нагнуть,
ёл-хӯтылтаӈкве,склонить,
ёл-ю̄ныгтаӈкве,сбить,
ёл-юнумтаӈкве,уснуть,
ёл-я̄рмуӈкве,застрять,
ёл-яктапаӈкве,срубить,
ёл-яктуӈкве,рубить,
ёл-ӯнтуӈкве,сесть,о солнце
ёл-ӯнтуӈкве,садиться,
ёлаль,вниз,
ёлн,внизу,
ёлы,нижний,
ёлыл,снизу,
ёлымта̄лыглаӈкве,одолевать,
ёлымта̄лыглаӈкве,побеждать,
ёлымтатта̄л,непобедимый,
ёлымтаӈкве,одолеть,
ёлымтаӈкве,победить,
ёлысов,штаны,
ёлысов,брюки,
ёлысуп,штаны,
ёлысуп,юбка,
ё̄малтахтуӈкве,пойти,
ё̄малтахтуӈкве,отправиться,пешком
ё̄мантаӈкве,идти,не спеша
ё̄масаӈкве,шагнуть,
ё̄млыгтаӈкве,прошагать,быстро
ё̄муӈкве,идти пешком,
ё̄муӈкве,шагом,
ё̄мыгтаӈкве,ходить,
ё̄мыгтаӈкве,похаживать,
ёмас,добро,
ёмас,добрый,
ёмас,хороший,
ёмасмахтуӈкве,помириться,
ёмасмаӈкве,улучшиться,
ёмасмаӈкве,сделаться хорошим,
ёмаспа̄л,правая,сторона
ёмаспа̄лн,вправо,
ёмаспа̄лн,направо,
ёмаспа̄лт,справа,
ёмасы̄г,хорошо,
ёмасы̄г ва̄руӈкве,улучшить,
ёмасы̄г е̄мтуӈкве,улучшиться,
ёмасы̄г е̄мтуӈкве,сделаться хорошим,
ёмасякв,хорошо,
ёмсякве̄г,хорошенько,
ёмсякве̄г,основательно,
ё̄нхыгпаӈкве,повернуться,
ёнгалтахтуӈкве,начать играть,
ёнгалтаӈкве,забавлять,
ёнгасаӈкве,забавляться,
ёнгасаӈкве,резвиться,
ёнгил,игра,
ёнгуӈкве,играть,
ёнгынут,игрушка,
ё̄паньси,войлок,
ё̄р ёхтта̄л,непосильный,
ё̄рамтахтуӈкве,укрепиться,
ё̄рамтахтуӈкве,усилиться,
ё̄рамтаӈкве,усилить,
ё̄рамтаӈкве,укрепить,
